,title,price,in_stock,image_url,href
36,"Phanteks SK 120mm PWM Fan, DRGB, 3 Pack",149,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/227990/image_256?ts=1673325650,https://www.pcbyte.com.my/p/phanteks-sk-120mm-pwm-fan-drgb-3-pack-227990
37,Thermalright TRUE Spirit 140 Direct CPU Cooler,149,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249276/image_256?ts=1674189253,https://www.pcbyte.com.my/p/thermalright-true-spirit-140-direct-cpu-cooler-249276
38,Montech Sky One ITX Casing with 3 Silent Fan - White,215,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/319345/image_256?ts=1673320655,https://www.pcbyte.com.my/p/montech-sky-one-itx-casing-with-3-silent-fan-white-319345
39,Thermalright Frost Commander 140 CPU Cooler,279,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273050/image_256?ts=1688103208,https://www.pcbyte.com.my/p/thermalright-frost-commander-140-cpu-cooler-273050
40,Thermalright TA 120 CPU Cooler,179,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249275/image_256?ts=1689130654,https://www.pcbyte.com.my/p/thermalright-ta-120-cpu-cooler-249275
41,V-Color Prism Pro RGB Kit 16GB 3600MHz (2x8) DDR4 Desktop Memory Ram - White,599,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/269394/image_256?ts=1676611110,https://www.pcbyte.com.my/p/v-color-prism-pro-rgb-kit-16gb-3600mhz-2x8-ddr4-desktop-memory-ram-white-269394
42,V-Color Prism Pro RGB Kit 32GB 3600MHz (2x16) DDR4 Desktop Memory Ram - Black,959,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/269396/image_256?ts=1676611333,https://www.pcbyte.com.my/p/v-color-prism-pro-rgb-kit-32gb-3600mhz-2x16-ddr4-desktop-memory-ram-black-269396
43,Thermalright TL-R12-B Black 120mm PWM Cooling Fan,29,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273082/image_256?ts=1687425224,https://www.pcbyte.com.my/p/thermalright-tl-r12-b-black-120mm-pwm-cooling-fan-273082
44,Thermalright TL-C9 90mm Cooling Fan,39,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273069/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-tl-c9-90mm-cooling-fan-273069
45,Kingston FURY BEAST RGB DDR4 3600MHz 8GB (1x8) CL17 Desktop Memory,134,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/330303/image_256?ts=1691371102,https://www.pcbyte.com.my/p/kingston-fury-beast-rgb-ddr4-3600mhz-8gb-1x8-cl17-desktop-memory-330303
46,Corsair LL140 RGB PWM 140mm Fan (2 Fan Pack) with Lighting Node PRO CO-9050074-WW,298,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/1351/image_256?ts=1695631252,https://www.pcbyte.com.my/p/corsair-ll140-rgb-pwm-140mm-fan-2-fan-pack-with-lighting-node-pro-co-9050074-ww-1351
47,Corsair Vengeance RGB Pro DDR4 3200MHz 16GB (2x8) Desktop Memory Black AMD CMW16GX4M2Z3200C16,419,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/19758/image_256?ts=1695631252,https://www.pcbyte.com.my/p/corsair-vengeance-rgb-pro-ddr4-3200mhz-16gb-2x8-desktop-memory-black-amd-cmw16gx4m2z3200c16-19758
48,Corsair iCUE H115i ELITE CAPELLIX 280mm Liquid CPU Cooler CW-9060047-WW,629,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/185791/image_256?ts=1695631252,https://www.pcbyte.com.my/p/corsair-icue-h115i-elite-capellix-280mm-liquid-cpu-cooler-cw-9060047-ww-185791
49,Corsair iCUE QL140 RGB PWM 140mm Fan Black (2 Fan Pack) with Lighting Node CORE CO-9050100-WW,439,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/22431/image_256?ts=1695631252,https://www.pcbyte.com.my/p/corsair-icue-ql140-rgb-pwm-140mm-fan-black-2-fan-pack-with-lighting-node-core-co-9050100-ww-22431
50,Corsair iCUE QL140 RGB PWM White 140mm Fan CO-9050105-WW,179,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/23449/image_256?ts=1695631252,https://www.pcbyte.com.my/p/corsair-icue-ql140-rgb-pwm-white-140mm-fan-co-9050105-ww-23449
51,Deepcool Castle 240EX RGB AIO CPU Liquid Cooler DP-GS-H12-CSL240EX,369,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/53937/image_256?ts=1695631272,https://www.pcbyte.com.my/p/deepcool-castle-240ex-rgb-aio-cpu-liquid-cooler-dp-gs-h12-csl240ex-53937
52,G.Skill Trident Z Royal DDR4 3600MHz 16GB (2x8) Desktop Memory Silver F4-3600C18D-16GTRS,539,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/11758/image_256?ts=1695631272,https://www.pcbyte.com.my/p/g-skill-trident-z-royal-ddr4-3600mhz-16gb-2x8-desktop-memory-silver-f4-3600c18d-16gtrs-11758
53,Galax NVIDIA GeForce GT 730 2GB ​Video Card 73GPF4HX003Q,269,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/311431/image_256?ts=1695631272,https://www.pcbyte.com.my/p/galax-nvidia-geforce-gt-730-2gb-video-card-73gpf4hx003q-311431
54,Gigabyte NVIDIA GeForce GTX 1660 Ti OC 6GB Video Card GV-N166TOC-6GD,1199,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/11441/image_256?ts=1695631272,https://www.pcbyte.com.my/p/gigabyte-nvidia-geforce-gtx-1660-ti-oc-6gb-video-card-gv-n166toc-6gd-11441
55,PNY XLR8 RGB DDR4 3200MHz 16GB (2x8) Desktop Memory MD16GK2D4320016XRGB,237,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/24211/image_256?ts=1695631333,https://www.pcbyte.com.my/p/pny-xlr8-rgb-ddr4-3200mhz-16gb-2x8-desktop-memory-md16gk2d4320016xrgb-24211
56,PNY XLR8 RGB DDR4 3600MHz 16GB (2x8) Desktop Memory Silver MD16GK2D4360018XSRGB,272,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/410097/image_256?ts=1695631333,https://www.pcbyte.com.my/p/pny-xlr8-rgb-ddr4-3600mhz-16gb-2x8-desktop-memory-silver-md16gk2d4360018xsrgb-410097
57,Tecware Omni P12 ARGB 120mm Fans White (3 Fan Pack) TWAC-OMP12-3WH,69,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/274496/image_256?ts=1695631414,https://www.pcbyte.com.my/p/tecware-omni-p12-argb-120mm-fans-white-3-fan-pack-twac-omp12-3wh-274496
